trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2165,False,"{'a': 0.5, 'e': 0.23921486625219235}",20,0,26.841994994192934,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2166,False,"{'a': 0.5, 'e': 0.23862421734097802}",20,3,-6.698785956724077,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
2167,False,"{'a': 0.5, 'e': 0.23803348002628463}",20,0,-14.191093333172953,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
2168,False,"{'a': 0.5, 'e': 0.23744265452665939}",25,0,-50.48366809952966,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",1
2169,False,"{'a': 0.5, 'e': 0.23685174106068224}",20,0,8.834212770054892,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2170,False,"{'a': 0.5, 'e': 0.2362607398469658}",20,12,17.568563000687615,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2171,False,"{'a': 0.5, 'e': 0.2356696511041553}",30,0,-29.509306731728888,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
2172,False,"{'a': 0.5, 'e': 0.23507847505092849}",30,0,1.674736082438456,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
2173,False,"{'a': 0.5, 'e': 0.23448721190599553}",25,10,-22.207091626806918,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
2174,False,"{'a': 0.5, 'e': 0.23389586188809897}",25,0,28.30725979814604,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2175,False,"{'a': 0.5, 'e': 0.23330442521601361}",20,0,-36.63459731839327,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2176,False,"{'a': 0.5, 'e': 0.23271290210854648}",20,0,21.774999487273842,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2177,False,"{'a': 0.5, 'e': 0.23212129278453666}",20,0,-34.27641215457212,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
2178,False,"{'a': 0.5, 'e': 0.23152959746285534}",20,0,-17.906132832641063,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
2179,False,"{'a': 0.5, 'e': 0.23093781636240562}",20,0,-16.41227311209975,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
2180,False,"{'a': 0.5, 'e': 0.23034594970212247}",25,0,-29.533248906054027,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
2181,False,"{'a': 0.5, 'e': 0.22975399770097263}",25,0,-52.99496820309278,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
2182,False,"{'a': 0.5, 'e': 0.2291619605779546}",20,5,21.298959006420933,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2183,False,"{'a': 0.5, 'e': 0.22856983855209848}",20,0,-59.23621781341869,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2184,False,"{'a': 0.5, 'e': 0.22797763184246589}",20,0,25.092801882816833,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2185,False,"{'a': 0.5, 'e': 0.22738534066814997}",20,0,-46.180112014555405,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
2186,False,"{'a': 0.5, 'e': 0.22679296524827519}",20,0,22.584080974549146,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2187,False,"{'a': 0.5, 'e': 0.22620050580199735}",25,0,28.970927972442748,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
2188,False,"{'a': 0.5, 'e': 0.22560796254850349}",25,13,22.491073388291458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2189,False,"{'a': 0.5, 'e': 0.22501533570701174}",20,0,-25.60338368706308,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
2190,False,"{'a': 0.5, 'e': 0.22442262549677133}",20,0,18.812757982477756,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2191,False,"{'a': 0.5, 'e': 0.22382983213706245}",25,10,21.256199517402703,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2192,False,"{'a': 0.5, 'e': 0.22323695584719622}",25,0,6.562843379336714,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
2193,False,"{'a': 0.5, 'e': 0.22264399684651451}",25,0,4.243002039324774,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
2194,False,"{'a': 0.5, 'e': 0.22205095535438998}",20,0,-29.290640070986036,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
2195,False,"{'a': 0.5, 'e': 0.22145783159022595}",30,21,16.244401897440532,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2196,False,"{'a': 0.5, 'e': 0.22086462577345625}",20,0,4.6806768468304805,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2197,False,"{'a': 0.5, 'e': 0.2202713381235453}",25,0,-15.270506388224385,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2198,False,"{'a': 0.5, 'e': 0.2196779688599878}",25,0,-22.810041164613924,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
