trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.5, 'e': 0.92487193010088586}",20,0,-59.55501031201818,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.92376274942627123}",25,0,-113.07864265842917,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.92265489897017539}",20,0,-82.44951996580633,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.92154837713729354}",20,0,-214.95251407257908,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 5}",0
70,False,"{'a': 0.5, 'e': 0.92044318233423406}",30,0,-271.68695823780695,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 5}",0
71,False,"{'a': 0.5, 'e': 0.9193393129695161}",20,0,-81.6315389705565,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.91823676745356775}",25,0,-110.91480773029764,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.91713554419872323}",25,0,-94.42677837809272,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9160356416192208}",25,0,-128.46206920903126,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.91493705813120052}",20,0,-116.56030982276855,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.91383979215270206}",25,0,-178.03361540694627,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.91274384210366222}",20,0,-160.1489268374259,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.91164920640591274}",20,0,-104.80864698648433,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.91055588348317806}",20,0,-80.21261446792634,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.90946387176107291}",30,0,-233.43627697362555,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
81,False,"{'a': 0.5, 'e': 0.90837316966710024}",20,0,-48.865147378592134,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.90728377563064888}",20,0,-83.39017724832394,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.90619568808299122}",20,0,-89.4084076787778,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.90510890545728095}",30,3,-131.41885594487567,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 2}",1
85,False,"{'a': 0.5, 'e': 0.90402342618855103}",20,0,-189.13046161260297,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.90293924871371101}",20,0,-156.65189682681077,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.90185637147154518}",20,0,-97.12905510213983,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.90077479290271012}",25,0,-98.84536081636479,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.89969451144973245}",25,0,-131.85070384586297,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.89861552555700674}",20,14,3.5100926884616603,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.89753783367079309}",35,0,-176.55751831407025,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.89646143423921498}",25,13,-5.5437066789796745,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.89538632571225718}",25,0,-129.16381025781175,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.89431250654176309}",25,0,-81.41592043337884,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.89323997518143294}",25,7,-88.4670499563601,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.8921687300868214}",30,0,-169.51131531910772,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
97,False,"{'a': 0.5, 'e': 0.89109876971533541}",20,10,-24.359322650487105,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.89003009252623178}",20,8,-33.02908074241083,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.88896269698061514}",25,0,-77.5993170414581,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.8878965815414358}",35,0,-190.40675617963694,"{0: 23, 1: 0, 2: 9, 3: 0, 4: 3}",0
101,False,"{'a': 0.5, 'e': 0.88683174467348724}",20,0,-93.57530480242576,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.88576818484340425}",30,0,-102.74461623467067,"{0: 21, 1: 0, 2: 7, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.88470590051966058}",30,0,-29.72051743540426,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.88364489017256653}",20,0,-184.93792477130754,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.88258515227426704}",20,0,-41.742400983102684,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.88152668529873923}",20,0,-117.62314435593909,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.88046948772179068}",20,0,-61.658696904554915,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.87941355802105659}",20,12,-5.393143596119913,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.87835889467599793}",25,0,-72.92023149543893,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.87730549616789943}",25,0,-74.28407657231281,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.87625336097986706}",25,0,-10.840941176270269,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.87520248759682584}",20,0,-126.77956944618863,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.87415287450551804}",25,0,-92.24736759419883,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.87310452019450058}",20,0,-78.34201735953575,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.87205742315414303}",20,0,-120.97066214825577,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.87101158187662553}",20,0,-150.4303028896898,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
117,False,"{'a': 0.5, 'e': 0.86996699485593643}",20,0,-109.303382730776,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.86892366058787029}",20,11,-17.647059825127542,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.86788157757002549}",20,0,-99.37227985197046,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.86684074430180236}",20,0,-79.54259216005848,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.86580115928440082}",30,0,-155.53912667069633,"{0: 16, 1: 6, 2: 3, 3: 4, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.86476282102081825}",20,0,-54.866697228816356,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.86372572801584746}",20,0,-124.46546620258482,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.86268987877607417}",20,0,-72.98963978376202,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.86165527180987544}",25,0,-85.71326464915929,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.86062190562741703}",30,15,-82.92701619514261,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.85958977874065146}",20,0,-57.96240520663351,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.85855888966331573}",20,0,-62.48743815215288,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.85752923691092953}",20,6,-22.243086913711686,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.85650081900079267}",20,9,-54.65937041365573,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.85547363445198321}",30,0,-138.02205214888588,"{0: 15, 1: 7, 2: 6, 3: 1, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.85444768178535513}",25,8,-5.40872408497198,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.85342295952353653}",20,0,-120.44427977702829,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.8523994661909271}",25,0,-43.29596103191695,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.85137720031369624}",25,0,-86.64991826246762,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.8503561604197809}",20,0,-152.80966426873906,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
137,False,"{'a': 0.5, 'e': 0.84933634503888356}",20,0,-82.40793784895229,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.84831775270246979}",25,4,-148.0038281034117,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 3}",1
139,False,"{'a': 0.5, 'e': 0.84730038194376656}",30,0,-142.35781060252208,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.84628423129775976}",25,7,-111.4372765087935,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 2}",1
141,False,"{'a': 0.5, 'e': 0.84526929930119221}",25,2,-135.39929584615584,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 3}",1
142,False,"{'a': 0.5, 'e': 0.84425558449256177}",20,0,-44.95644521130768,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.8432430854121189}",25,0,-36.16036255329456,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.84223180060186464}",20,0,-24.56053738993082,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.84122172860554889}",20,0,-143.7762975286151,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
146,False,"{'a': 0.5, 'e': 0.84021286796866768}",20,0,-99.27175989312035,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.83920521723846153}",20,0,-60.70948066177048,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.83819877496391315}",20,0,-84.83441463436355,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.83719353969574561}",25,1,-13.654177231136464,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.83618950998641994}",20,0,-81.8022440058678,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.83518668439013311}",20,0,-96.09990093758758,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.83418506146281612}",25,0,-192.5482785190086,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
153,False,"{'a': 0.5, 'e': 0.83318463976213175}",20,10,-5.131760780674634,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.83218541784747257}",25,0,-110.43093266871006,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.83118739427995891}",20,12,-3.7880809182818522,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.8301905676224367}",25,0,-68.05308616538647,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.82919493643947528}",20,4,0.7097126565689642,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.82820049929736561}",30,19,-15.874265322755999,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.82720725476411805}",20,11,13.583480115010056,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.82621520140946036}",25,0,-107.05512887869443,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.8252243378048354}",20,0,-76.59991384470177,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.8242346625233995}",20,0,-53.74700719869885,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.8232461741400201}",25,0,-35.91168042200546,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
164,False,"{'a': 0.5, 'e': 0.82225887123127372}",25,0,-45.1409799098657,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.82127275237544395}",20,0,-94.05434728762206,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.82028781615251956}",30,10,-36.6328635376168,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.81930406114419219}",20,0,-109.40232396119194,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
168,False,"{'a': 0.5, 'e': 0.81832148593385434}",20,0,-41.593447924024304,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.81734008910659772}",30,0,-47.558389621652694,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.81635986924921067}",30,20,-5.885715383639062,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.81538082495017639}",30,8,-86.95832503272507,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
172,False,"{'a': 0.5, 'e': 0.81440295479967095}",20,0,-55.18793549411685,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.81342625738956109}",20,0,-141.89207122623196,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
174,False,"{'a': 0.5, 'e': 0.8124507313134024}",20,0,-89.09913119298606,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.81147637516643722}",25,0,-105.01876703513088,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.81050318754559258}",25,0,-228.7771235557952,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
177,False,"{'a': 0.5, 'e': 0.80953116704947803}",25,0,-197.86975029920177,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
178,False,"{'a': 0.5, 'e': 0.80856031227838387}",30,0,-262.7252223008,"{0: 15, 1: 1, 2: 9, 3: 1, 4: 4}",0
179,False,"{'a': 0.5, 'e': 0.8075906218342791}",25,0,-74.32332132654449,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.80662209432080934}",20,1,-75.29348147915877,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.80565472834329477}",25,0,-72.7980144205509,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.80468852250872824}",30,16,-20.741698157279526,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
