trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6487,False,"{'a': 0.1, 'e': 0.00041663500592619053}",20,0,31.12392616915383,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6488,False,"{'a': 0.1, 'e': 0.00041613534377632846}",25,13,23.11071563177976,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6489,False,"{'a': 0.1, 'e': 0.00041563628086143338}",20,13,9.685425558361176,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6490,False,"{'a': 0.1, 'e': 0.00041513781646285457}",25,19,12.282495624550723,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6491,False,"{'a': 0.1, 'e': 0.00041463994986280317}",20,9,24.141732799788738,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6492,False,"{'a': 0.1, 'e': 0.00041414268034435122}",25,16,20.083188944500062,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6493,False,"{'a': 0.1, 'e': 0.00041364600719143055}",20,10,18.418465362233768,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6494,False,"{'a': 0.1, 'e': 0.00041314992968883169}",20,7,24.250787361685948,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6495,False,"{'a': 0.1, 'e': 0.00041265444712220296}",35,13,39.85164102947601,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6496,False,"{'a': 0.1, 'e': 0.00041215955877804943}",20,13,15.956507235041286,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6497,False,"{'a': 0.1, 'e': 0.00041166526394373175}",25,10,28.158671921757726,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6498,False,"{'a': 0.1, 'e': 0.00041117156190746527}",20,2,26.49439586999886,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6499,False,"{'a': 0.1, 'e': 0.00041067845195831901}",20,16,9.465754458809453,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6500,False,"{'a': 0.1, 'e': 0.00041018593338621454}",25,13,27.292825201556536,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
